Time in s,Speed in km/h,Sampling time in s,Acceleration in m/s²,Altitude in m,Gradient angle in rad
0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,1.0,0.0,0.0,0.0
6.0,0.0,1.0,0.0,0.0,0.0
7.0,0.0,1.0,0.0,0.0,0.0
8.0,0.0,1.0,0.0,0.0,0.0
9.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,1.0,0.0,0.0,0.0
11.0,0.0,1.0,0.0,0.0,0.0
12.0,0.2,1.0,0.05555555555555556,0.0,0.0
13.0,1.7,1.0,0.41666666666666663,0.0,0.0
14.0,5.4,1.0,1.027777777777778,0.0,0.0
15.0,9.9,1.0,1.25,0.0,0.0
16.0,13.1,1.0,0.8888888888888886,0.0,0.0
17.0,16.9,1.0,1.0555555555555551,0.0,0.0
18.0,21.7,1.0,1.3333333333333335,0.0,0.0
19.0,26.0,1.0,1.1944444444444446,0.0,0.0
20.0,27.5,1.0,0.41666666666666663,0.0,0.0
21.0,28.1,1.0,0.16666666666666705,0.0,0.0
22.0,28.3,1.0,0.05555555555555536,0.0,0.0
23.0,28.8,1.0,0.1388888888888889,0.0,0.0
24.0,29.1,1.0,0.08333333333333352,0.0,0.0
25.0,30.8,1.0,0.472222222222222,0.0,0.0
26.0,31.9,1.0,0.30555555555555497,0.0,0.0
27.0,34.1,1.0,0.6111111111111119,0.0,0.0
28.0,36.6,1.0,0.6944444444444444,0.0,0.0
29.0,39.1,1.0,0.6944444444444444,0.0,0.0
30.0,41.3,1.0,0.6111111111111099,0.0,0.0
31.0,42.5,1.0,0.3333333333333341,0.0,0.0
32.0,43.3,1.0,0.22222222222222143,0.0,0.0
33.0,43.9,1.0,0.16666666666666705,0.0,0.0
34.0,44.4,1.0,0.1388888888888889,0.0,0.0
35.0,44.5,1.0,0.027777777777778172,0.0,0.0
36.0,44.2,1.0,-0.08333333333333254,0.0,0.0
37.0,42.7,1.0,-0.41666666666666663,0.0,0.0
38.0,39.9,1.0,-0.7777777777777789,0.0,0.0
39.0,37.0,1.0,-0.8055555555555551,0.0,0.0
40.0,34.6,1.0,-0.6666666666666663,0.0,0.0
41.0,32.3,1.0,-0.6388888888888901,0.0,0.0
42.0,29.0,1.0,-0.9166666666666659,0.0,0.0
43.0,25.1,1.0,-1.0833333333333328,0.0,0.0
44.0,22.2,1.0,-0.8055555555555561,0.0,0.0
45.0,20.9,1.0,-0.3611111111111113,0.0,0.0
46.0,20.4,1.0,-0.1388888888888889,0.0,0.0
47.0,19.5,1.0,-0.2499999999999996,0.0,0.0
48.0,18.4,1.0,-0.30555555555555597,0.0,0.0
49.0,17.8,1.0,-0.16666666666666607,0.0,0.0
50.0,17.8,1.0,0.0,0.0,0.0
51.0,17.4,1.0,-0.1111111111111117,0.0,0.0
52.0,15.7,1.0,-0.472222222222222,0.0,0.0
53.0,13.1,1.0,-0.7222222222222221,0.0,0.0
54.0,12.1,1.0,-0.2777777777777778,0.0,0.0
55.0,12.0,1.0,-0.02777777777777768,0.0,0.0
56.0,12.0,1.0,0.0,0.0,0.0
57.0,12.0,1.0,0.0,0.0,0.0
58.0,12.3,1.0,0.08333333333333352,0.0,0.0
59.0,12.6,1.0,0.08333333333333304,0.0,0.0
60.0,14.7,1.0,0.5833333333333333,0.0,0.0
61.0,15.3,1.0,0.16666666666666705,0.0,0.0
62.0,15.9,1.0,0.16666666666666657,0.0,0.0
63.0,16.2,1.0,0.08333333333333304,0.0,0.0
64.0,17.1,1.0,0.2500000000000006,0.0,0.0
65.0,17.8,1.0,0.19444444444444425,0.0,0.0
66.0,18.1,1.0,0.08333333333333352,0.0,0.0
67.0,18.4,1.0,0.08333333333333254,0.0,0.0
68.0,20.3,1.0,0.5277777777777783,0.0,0.0
69.0,23.2,1.0,0.8055555555555551,0.0,0.0
70.0,26.5,1.0,0.9166666666666669,0.0,0.0
71.0,29.8,1.0,0.9166666666666669,0.0,0.0
72.0,32.6,1.0,0.7777777777777779,0.0,0.0
73.0,34.4,1.0,0.4999999999999992,0.0,0.0
74.0,35.5,1.0,0.30555555555555597,0.0,0.0
75.0,36.4,1.0,0.2499999999999996,0.0,0.0
76.0,37.4,1.0,0.2777777777777778,0.0,0.0
77.0,38.5,1.0,0.30555555555555597,0.0,0.0
78.0,39.3,1.0,0.22222222222222143,0.0,0.0
